Muestra;ADC
0;2035
1;819
2;166
3;151
4;937
5;2042
6;3213
7;3942
8;3946
9;3203
10;2033
11;860
12;160
13;165
14;877
15;2049
16;3286
17;3944
18;3919
19;3211
20;1985
21;841
22;124
23;162
24;889
25;2123
26;3219
27;3933
28;3937
29;3146
30;2045
31;849
32;147
33;161
34;885
35;2059
36;3223
37;3935
38;3913
39;3197
40;2029
41;848
42;155
43;163
44;946
45;2059
46;3262
47;3936
48;3906
49;3208
50;1996
51;845
52;145
53;164
54;937
55;2091
56;3283
57;3931
58;3921
59;3167
60;2001
61;862
62;139
63;167
64;901
65;2063
66;3238
67;3953
68;3903
69;3127
70;2000
71;832
72;144
73;180
74;940
75;2088
76;3270
77;3930
78;3899
79;3175
80;1994
81;851
82;133
83;181
84;930
85;2161
86;3239
87;3957
88;3907
89;3179
90;2005
91;851
92;150
93;184
94;918
95;2091
96;3249
97;3971
98;3918
99;3164
100;1989
101;803
102;131
103;189
104;919
105;2099
106;3315
107;3944
108;3908
109;3181
110;1960
111;863
112;157
113;166
114;892
115;2073
116;3243
117;3959
118;3923
119;3179
120;1998
121;842
122;150
123;159
124;920
125;2159
126;3243
127;3941
128;3941
129;3123
130;1997
131;853
132;153
133;169
134;923
135;2146
136;3265
137;3975
138;3933
139;3170
140;2009
141;843
142;164
143;158
144;895
145;2060
146;3230
147;3927
148;3903
149;3175
150;1956
151;853
152;135
153;182
154;912
155;2095
156;3243
157;3967
158;3938
159;3111
160;2022
161;836
162;158
163;181
164;909
165;2100
166;3298
167;3950
168;3915
169;3175
170;1998
171;855
172;157
173;178
174;914
175;2074
176;3246
177;3932
178;3921
179;3192
180;1979
181;859
182;150
183;176
184;972
185;2072
186;3225
187;3967
188;3920
189;3185
190;2015
191;804
192;163
193;165
194;904
195;2046
196;3224
197;3936
198;3933
199;3206
200;2028
201;852
202;154
203;176
204;884
205;2082
206;3288
207;3949
208;3913
209;3199
210;1967
211;866
212;143
213;169
214;887
215;2070
216;3281
217;3925
218;3912
219;3182
220;2012
221;845
222;162
223;152
224;909
225;2080
226;3230
227;3952
228;3899
229;3208
230;2038
231;803
232;150
233;181
234;887
235;2080
236;3262
237;3952
238;3918
239;3210
240;1965
241;855
242;143
243;157
244;931
245;2072
246;3229
247;3963
248;3942
249;3186
250;2029
251;855
252;153
253;163
254;897
255;2056
256;3241
257;3932
258;3927
259;3153
260;2022
261;832
262;148
263;173
264;907
265;2137
266;3228
267;3918
268;3910
269;3208
270;2006
271;851
272;145
273;155
274;891
275;2038
276;3235
277;3929
278;3921
279;3185
280;2024
281;853
282;150
283;154
284;887
285;2076
286;3229
287;3963
288;3936
289;3187
290;2023
291;813
292;150
293;155
294;883
295;2067
296;3234
297;3942
298;3917
299;3124
300;2027
301;846
302;140
303;155
304;883
305;2055
306;3222
307;3921
308;3903
309;3187
310;2019
311;869
312;142
313;165
314;915
315;2076
316;3247
317;3944
318;3923
319;3149
320;2042
321;819
322;154
323;149
324;879
325;2116
326;3229
327;3919
328;3921
329;3211
330;2015
331;847
332;147
333;172
334;887
335;2076
336;3221
337;3933
338;3937
339;3211
340;1967
341;857
342;143
343;146
344;911
345;2071
346;3289
347;3927
348;3938
349;3131
350;2049
351;855
352;157
353;188
354;876
355;2081
356;3217
357;3938
358;3923
359;3199
360;2020
361;874
362;166
363;153
364;895
365;2048
366;3215
367;3923
368;3911
369;3206
370;2021
371;884
372;149
373;144
374;887
375;2062
376;3212
377;3951
378;3911
379;3185
380;1961
381;874
382;166
383;172
384;878
385;2039
386;3207
387;3943
388;3918
389;3211
390;2043
391;881
392;161
393;187
394;887
395;2078
396;3213
397;3957
398;3908
399;3199
400;1993
401;860
402;130
403;166
404;885
405;2045
406;3285
407;3943
408;3903
409;3135
410;2045
411;861
412;149
413;172
414;902
415;2067
416;3239
417;3923
418;3921
419;3191
420;2041
421;796
422;160
423;181
424;898
425;2097
426;3249
427;3943
428;3927
429;3210
430;1934
431;871
432;149
433;162
434;937
435;2046
436;3227
437;3944
438;3938
439;3182
440;2037
441;859
442;145
443;159
444;895
445;2061
446;3215
447;3946
448;3932
449;3155
450;2038
451;863
452;168
453;192
454;891
455;2071
456;3215
457;3952
458;3918
459;3160
460;2030
461;813
462;150
463;148
464;907
465;2044
466;3217
467;3933
468;3929
469;3215
470;2031
471;865
472;167
473;155
474;930
475;2047
476;3235
477;3923
478;3928
479;3195
480;2049
481;831
482;173
483;169
484;868
485;2041
486;3215
487;3956
488;3948
489;3213
490;1975
491;891
492;164
493;163
494;888
495;2059
496;3210
497;3950
498;3913
499;3199
500;2041
501;889
502;142
503;150
504;889
505;2064
506;3263
507;3953
508;3891
509;3189
510;2039
511;823
512;146
513;146
514;878
515;2100
516;3209
517;3948
518;3927
519;3208
520;2033
521;876
522;160
523;152
524;873
525;2059
526;3205
527;3925
528;3918
529;3207
530;1967
531;895
532;147
533;164
534;915
535;2037
536;3207
537;3928
538;3918
539;3210
540;1979
541;866
542;122
543;150
544;889
545;2061
546;3226
547;3928
548;3923
549;3199
550;2038
551;873
552;167
553;164
554;889
555;2107
556;3191
557;3939
558;3921
559;3194
560;2034
561;871
562;153
563;147
564;951
565;2028
566;3211
567;3935
568;3923
569;3191
570;2025
571;821
572;154
573;159
574;887
575;2035
576;3205
577;3921
578;3917
579;3215
580;2058
581;874
582;155
583;178
584;881
585;2067
586;3220
587;3957
588;3907
589;3150
590;2029
591;866
592;125
593;151
594;865
595;2049
596;3268
597;3935
598;3948
599;3213
600;2057
601;894
602;170
603;154
604;867
605;2019
606;3201
607;3918
608;3915
609;3227
610;2054
611;827
612;152
613;152
614;873
615;2098
616;3193
617;3929
618;3931
619;3214
620;2047
621;835
622;142
623;166
624;881
625;2049
626;3207
627;3946
628;3935
629;3224
630;2067
631;892
632;168
633;157
634;875
635;2044
636;3249
637;3943
638;3919
639;3225
640;2047
641;860
642;170
643;164
644;861
645;2107
646;3207
647;3929
648;3938
649;3189
650;2045
651;869
652;136
653;159
654;866
655;2029
656;3193
657;3928
658;3934
659;3231
660;2048
661;899
662;150
663;156
664;916
665;2033
666;3207
667;3915
668;3919
669;3186
670;1984
671;871
672;157
673;176
674;878
675;2060
676;3216
677;3935
678;3944
679;3199
680;2053
681;887
682;167
683;145
684;894
685;2048
686;3206
687;3923
688;3930
689;3200
690;2023
691;856
692;143
693;167
694;896
695;2031
696;3271
697;3937
698;3911
699;3196
700;2030
701;869
702;128
703;173
704;942
705;2051
706;3216
707;3918
708;3942
709;3185
710;2044
711;862
712;145
713;158
714;907
715;2077
716;3249
717;3976
718;3938
719;3179
720;2014
721;862
722;151
723;160
724;953
725;2063
726;3300
727;3931
728;3938
729;3185
730;1959
731;860
732;139
733;192
734;909
735;2092
736;3256
737;3919
738;3911
739;3187
740;2023
741;863
742;135
743;160
744;899
745;2149
746;3241
747;3941
748;3914
749;3145
750;1977
751;795
752;160
753;174
754;971
755;2091
756;3239
757;3927
758;3898
759;3174
760;2000
761;847
762;149
763;160
764;898
765;2075
766;3247
767;3953
768;3926
769;3185
770;1977
771;832
772;155
773;188
774;919
775;2108
776;3259
777;3945
778;3919
779;3167
780;1998
781;838
782;145
783;189
784;922
785;2190
786;3253
787;3950
788;3917
789;3154
790;1981
791;843
792;139
793;181
794;925
795;2095
796;3251
797;3946
798;3899
799;3160
800;1976
801;816
802;138
803;195
804;921
805;2148
806;3275
807;3965
808;3918
809;3151
810;1995
811;791
812;143
813;172
814;971
815;2105
816;3282
817;3964
818;3895
819;3163
820;1992
821;824
822;148
823;173
824;931
825;2117
826;3309
827;3976
828;3887
829;3139
830;1936
831;796
832;130
833;188
834;934
835;2191
836;3266
837;3949
838;3891
839;3111
840;1969
841;810
842;123
843;177
844;935
845;2126
846;3263
847;3949
848;3897
849;3162
850;1987
851;801
852;133
853;174
854;1003
855;2130
856;3293
857;3953
858;3891
859;3150
860;1958
861;823
862;122
863;180
864;983
865;2122
866;3341
867;3976
868;3916
869;3131
870;1983
871;811
872;128
873;182
874;915
875;2124
876;3277
877;3943
878;3891
879;3087
880;1985
881;793
882;140
883;180
884;964
885;2137
886;3306
887;3968
888;3871
889;3157
890;1965
891;830
892;124
893;171
894;954
895;2179
896;3278
897;3950
898;3904
899;3153
900;1973
901;815
902;144
903;169
904;923
905;2103
906;3268
907;3981
908;3911
909;3135
910;1970
911;784
