Muestra;ADC
0;1025
1;1019
2;1003
3;1025
4;1021
5;1040
6;1025
7;1025
8;1017
9;1006
10;1039
11;1041
12;984
13;1030
14;1011
15;1025
16;1003
17;995
18;1025
19;1026
20;997
21;1014
22;1035
23;1045
24;1035
25;1035
26;1017
27;1015
28;1048
29;1020
30;1001
31;987
32;988
33;1029
34;1021
35;997
36;1041
37;999
38;1028
39;1007
40;1001
41;995
42;1006
43;1010
44;1002
45;1013
46;1041
47;1011
48;1031
49;1027
50;1022
51;1045
52;1011
53;1021
54;1042
55;1013
56;1027
57;1019
58;1053
59;991
60;1001
61;985
62;1003
63;1012
64;1023
65;1006
66;1018
67;1049
68;1040
69;1007
70;1027
71;1028
72;1026
73;1030
74;1022
75;992
76;1037
77;1023
78;996
79;1015
80;1015
81;991
82;1032
83;1036
84;1015
85;1000
86;1000
87;999
88;1015
89;1015
90;1009
91;1024
92;1031
93;1026
94;1004
95;1031
96;1015
97;1004
98;1027
99;1059
100;1025
101;1033
102;1038
103;1023
104;1045
105;1036
106;1027
107;1040
108;1003
109;1032
110;985
111;1023
112;1033
113;1039
114;1007
115;1006
116;1033
117;1011
118;1027
119;1037
120;1017
121;1023
122;1012
123;1025
124;1024
125;1028
126;1016
127;1039
128;1046
129;1038
130;1009
131;998
132;1024
133;1044
134;1029
135;1026
136;1036
137;1031
138;1016
139;1033
140;1036
141;1017
142;1038
143;1013
144;1039
145;1004
146;1004
147;1022
148;1041
149;1041
150;1005
151;1024
152;1029
153;1019
154;1055
155;1003
156;1047
157;1004
158;1017
159;1027
160;1027
161;1006
162;1049
163;1046
164;1049
165;1025
166;1029
167;1028
168;1024
169;997
170;1031
171;1011
172;994
173;1031
174;999
175;996
176;1013
177;1006
178;1019
179;1040
180;1025
181;1026
182;1040
183;1041
184;1031
185;1016
186;1033
187;1035
188;1025
189;1044
190;1028
191;994
192;1027
193;1043
194;1021
195;1013
196;1013
197;1015
198;1002
199;1004
200;998
201;1035
202;1035
203;1029
204;1031
205;1037
206;1029
207;1021
208;1027
209;1041
210;996
211;1013
212;1009
213;1019
214;1005
215;1030
216;1019
217;1029
218;986
219;1002
220;1019
221;1026
222;1019
223;1018
224;1025
225;1000
226;1052
227;1006
228;1007
229;991
230;1037
231;1007
232;1001
233;1010
234;1043
235;1017
236;996
237;999
238;1044
239;1000
240;1027
241;1029
242;1019
243;1020
244;995
245;1047
246;1038
247;1015
248;1027
249;1002
250;1047
251;1007
252;1012
253;1042
254;1029
255;1031
256;1004
257;1029
258;1022
259;1047
260;1012
261;991
262;1026
263;1048
264;1007
265;1017
266;1026
267;1030
268;1001
269;1024
270;1006
271;1018
272;1025
273;1005
274;1019
275;1020
276;1032
277;1046
278;1044
279;1007
280;1010
281;1016
282;1027
283;1001
284;1007
285;1032
286;1016
287;1021
288;1022
289;1031
290;1025
291;1036
292;999
293;1017
294;1026
295;1001
296;1035
297;1009
298;1007
299;1035
300;1023
301;1006
302;1015
303;1010
304;1023
305;1008
306;1043
307;1023
308;1015
309;1024
310;1033
311;1007
312;1035
313;1016
314;1023
315;1029
316;1006
317;1006
318;1038
319;1026
320;1013
321;1032
322;1007
323;1031
324;1023
325;1002
326;1023
327;1020
328;1008
329;1002
330;1029
331;1004
332;1041
333;1032
334;1028
335;1032
336;1020
337;1015
338;1025
339;1044
340;1033
341;1051
342;1033
343;1024
344;1022
345;1011
346;1026
347;1021
348;1045
349;1019
350;1032
351;1045
352;1029
353;1010
354;1039
355;1022
356;1010
357;1045
358;1037
359;1011
360;1026
361;1015
362;994
363;1026
364;1022
365;1001
366;1020
367;1017
368;1027
369;1023
370;1029
371;1035
372;1020
373;1016
374;1038
375;1029
376;993
377;1010
378;1023
379;1051
380;1020
381;990
382;1015
383;1015
384;1015
385;988
386;1044
387;1020
388;1002
389;1041
390;1014
391;1012
392;996
393;1019
394;1018
395;1016
396;1015
397;1028
398;1026
399;1001
400;1019
401;1018
402;1023
403;1053
404;1044
405;1029
406;1015
407;1027
408;1029
409;1009
410;1007
411;989
412;991
413;1031
414;1028
415;1040
416;996
417;1016
418;1019
419;1021
420;1035
421;1002
422;1010
423;1018
424;1032
425;1028
426;1014
427;994
428;1015
429;1004
430;1025
431;1020
432;1057
433;1025
434;1003
435;1009
436;1006
437;1011
438;1040
439;1005
440;1032
441;1037
442;999
443;1026
444;1063
445;1012
446;1021
447;1007
448;1013
449;1015
450;1001
451;1025
452;1025
453;1023
454;1019
455;1022
456;1028
457;1035
458;1012
459;1000
460;1031
461;1042
462;1034
463;1004
464;1003
465;1004
466;1042
467;1026
468;1020
469;996
470;1051
471;1021
472;1024
473;1042
474;1025
475;1038
476;1039
477;1029
478;1021
479;1001
480;1031
481;1024
482;990
483;1007
484;1015
485;1021
486;1001
487;1006
488;1023
489;1022
490;1006
491;1052
492;1003
493;1041
494;1011
495;1003
496;984
497;1025
498;1007
499;1053
500;1015
501;1000
502;1017
503;1010
504;1029
505;1039
506;1014
507;1031
508;1038
509;1007
510;1009
511;1005
512;1005
513;1043
514;1017
515;1013
516;1016
517;1025
518;1021
519;1001
520;1019
521;1015
522;1012
523;1047
524;1019
525;1041
526;1029
527;1031
528;1010
529;1009
530;995
531;1049
532;1040
533;1018
534;993
535;1033
536;1018
537;1017
538;1034
539;1006
540;1041
541;1011
542;1054
543;1027
544;1020
545;1031
546;1015
547;1029
548;1039
549;1007
550;1035
551;1035
552;1010
553;991
554;1016
555;990
556;1014
557;1045
558;1029
559;1010
560;1039
561;1005
562;1026
563;992
564;1031
565;1040
566;1045
567;1007
568;1032
569;1035
570;1022
571;1019
572;1024
573;994
574;1001
575;1030
576;1011
577;1020
578;1039
579;1028
580;1029
581;1023
582;1014
583;1039
584;1039
585;1035
586;1022
587;1051
588;1031
589;1047
590;1007
591;1015
592;1022
593;1030
594;1039
595;1025
596;1043
597;1052
598;1025
599;1033
600;1007
601;1023
602;1021
603;1006
604;1031
605;1002
606;1046
607;1029
608;997
609;1013
610;1027
611;1009
612;1041
613;1011
614;1010
615;1045
616;1014
617;1017
618;1005
619;1024
620;1037
621;1025
622;1027
623;1017
624;1041
625;1025
626;1049
627;1015
628;1011
629;1032
630;1036
631;1012
632;1006
633;1012
634;1017
635;1049
636;1037
637;1012
638;1003
639;1026
640;999
641;1017
642;1031
643;1013
644;1009
645;1023
646;1017
647;1007
648;1043
649;1018
650;1023
651;997
652;1011
653;1031
654;1015
655;1007
656;1047
657;997
658;1027
659;1018
660;1031
661;1028
662;1020
663;1025
664;994
665;1030
666;1019
667;1035
668;1041
669;1021
670;996
671;1037
672;1021
673;996
674;1033
675;1005
676;1022
677;1013
678;1006
679;1019
680;1018
681;1014
682;1027
683;1043
684;1009
685;1042
686;1010
687;1043
688;1009
689;1059
690;1019
691;1035
692;1023
693;1026
694;1040
695;1043
696;1018
697;1038
698;1020
699;1039
700;1009
701;1040
702;997
703;1012
704;1031
705;1017
706;1013
707;1011
708;1015
709;1019
710;1026
711;1027
712;1003
713;1036
714;1043
715;1039
716;1022
717;1022
718;1019
719;996
720;1044
721;1031
722;1002
723;1000
724;1044
725;1041
726;1001
727;1020
728;1020
729;1052
730;1023
731;997
732;997
733;1015
734;1025
735;1020
736;1024
737;1029
738;1012
739;1026
740;1019
741;1033
742;1017
743;1027
744;1021
745;1040
746;1031
747;1047
748;1035
749;1022
750;1037
751;1029
752;1002
753;998
754;1020
755;1045
756;1016
757;1031
758;1019
759;1006
760;1025
761;1008
762;1032
763;1039
764;1032
765;1022
766;1043
767;1017
768;1043
769;1016
770;1063
771;1038
772;990
773;1049
774;1023
775;1022
776;1019
777;1033
778;1036
779;1014
780;998
781;1035
782;1001
783;1033
784;1026
785;1011
786;1015
787;1012
788;1005
789;1019
790;990
791;1009
792;1015
793;991
794;1012
795;1018
796;1053
797;1031
798;1024
799;1033
800;997
801;1043
802;995
803;989
804;1036
805;1027
806;1012
807;1026
808;1060
809;1026
810;1026
811;1026
812;1017
813;1019
814;1043
815;1026
816;1008
817;1026
818;1043
819;1024
820;1009
821;988
822;1010
823;1021
824;1043
825;1003
826;1023
827;1047
828;1025
829;1027
830;1046
831;1023
832;1015
833;1030
834;1029
835;1007
836;1035
837;1018
838;1010
839;1005
840;1013
841;1010
842;1030
843;989
844;1025
845;1016
846;1017
847;1019
848;1008
849;1038
850;1003
851;993
852;1024
853;1052
854;1025
855;1034
856;1005
857;1032
858;1031
859;1001
860;1031
861;1011
862;1029
863;1013
864;1020
865;1035
866;1029
867;1009
868;1001
869;1029
870;1028
871;1035
872;1035
873;1008
874;1007
875;1028
876;1017
877;1042
878;1021
879;1003
880;1028
881;1049
882;1012
883;1039
884;1027
885;1005
886;1033
887;1023
888;1028
889;1026
890;1039
891;1026
892;997
893;1001
894;1009
895;993
896;1007
897;1047
898;1005
899;1021
900;1000
901;1033
902;1009
903;1030
904;1058
905;1055
906;1023
907;1041
908;1012
909;1035
910;1043
911;1032
912;1043
913;1048
914;1017
915;1025
916;1035
917;1025
