Tiempo_s_,X,Y,Z,Tiempo
16.99,0.04,0.03,-1.09,0
17.162,0.04,0.04,-1.08,0.172000000000001
17.334,0.04,0.03,-1.08,0.344000000000001
17.506,0.04,0.04,-1.09,0.516000000000002
17.678,0.04,0.04,-1.09,0.688000000000002
17.85,0.04,0.03,-1.08,0.860000000000003
18.022,0.04,0.04,-1.08,1.032
18.194,0.03,0.03,-1.08,1.204
18.366,0.04,0.03,-1.1,1.376
18.538,0.04,0.03,-1.09,1.54800000000001
18.71,0.04,0.03,-1.09,1.72000000000001
18.882,0.03,0.04,-1.09,1.89200000000001
19.054,0.04,0.04,-1.08,2.06400000000001
19.226,0.02,0.04,-1.09,2.23600000000001
19.398,0.04,0.04,-1.08,2.40800000000001
19.57,0.04,0.04,-1.09,2.58000000000001
19.742,0.04,0.04,-1.09,2.75200000000001
19.914,0.04,0.04,-1.09,2.92400000000001
20.086,0.03,0.04,-1.08,3.09600000000001
20.258,0.04,0.04,-1.09,3.26800000000001
20.43,0.04,0.04,-1.09,3.44000000000001
20.602,0.04,0.04,-1.08,3.61200000000001
20.774,0.04,0.03,-1.09,3.78400000000001
20.946,0.04,0.03,-1.09,3.95600000000001
21.118,0.04,0.03,-1.08,4.12800000000001
21.29,0.04,0.03,-1.08,4.30000000000001
21.462,0.03,0.03,-1.08,4.47200000000002
21.634,0.04,0.04,-1.08,4.64400000000002
21.806,0.03,0.04,-1.08,4.81600000000002
21.978,0.04,0.04,-1.08,4.98800000000002
22.15,0.04,0.03,-1.09,5.16000000000002
22.322,0.03,0.04,-1.08,5.33200000000002
22.494,0.03,0.03,-1.09,5.50400000000002
22.666,0.04,0.03,-1.09,5.67600000000002
22.838,0.04,0.03,-1.1,5.84800000000002
23.01,0.03,0.03,-1.09,6.02000000000002
23.182,0.05,0.04,-1.1,6.19200000000002
23.354,0.04,0.04,-1.09,6.36400000000002
23.526,0.04,0.03,-1.09,6.53600000000002
23.6980000000001,0.04,0.03,-1.09,6.70800000000002
23.8700000000001,0.04,0.04,-1.08,6.88000000000002
24.0420000000001,0.04,0.03,-1.08,7.05200000000002
24.2140000000001,0.03,0.04,-1.09,7.22400000000003
24.3860000000001,0.04,0.03,-1.09,7.39600000000003
24.5580000000001,0.04,0.03,-1.08,7.56800000000003
24.7300000000001,0.04,0.04,-1.09,7.74000000000003
24.9020000000001,0.04,0.03,-1.08,7.91200000000003
25.0740000000001,0.04,0.04,-1.08,8.08400000000003
25.2460000000001,0.04,0.04,-1.09,8.25600000000003
25.4180000000001,0.03,0.04,-1.09,8.42800000000003
25.5900000000001,0.04,0.04,-1.09,8.60000000000003
25.7620000000001,0.03,0.04,-1.09,8.77200000000003
25.9340000000001,0.03,0.03,-1.09,8.94400000000003
26.1060000000001,0.04,0.04,-1.08,9.11600000000003
26.2780000000001,0.04,0.03,-1.09,9.28800000000003
26.4500000000001,0.04,0.03,-1.09,9.46000000000003
26.6220000000001,0.04,0.03,-1.09,9.63200000000003
26.7940000000001,0.04,0.03,-1.08,9.80400000000003
26.9660000000001,0.04,0.03,-1.09,9.97600000000003
27.1380000000001,0.04,0.03,-1.09,10.148
27.3100000000001,0.04,0.03,-1.08,10.32
27.4820000000001,0.04,0.04,-1.09,10.492
27.6540000000001,0.04,0.04,-1.09,10.664
27.8260000000001,0.03,0.04,-1.08,10.836
27.9980000000001,0.04,0.04,-1.08,11.008
28.1700000000001,0.03,0.04,-1.09,11.18
28.3420000000001,0.03,0.03,-1.09,11.352
28.5140000000001,0.03,0.03,-1.08,11.524
28.6860000000001,0.03,0.03,-1.09,11.696
28.8580000000001,0.04,0.03,-1.09,11.868
29.0300000000001,0.04,0.03,-1.09,12.04
29.2020000000001,0.04,0.04,-1.09,12.212
29.3740000000001,0.03,0.04,-1.09,12.384
29.5460000000001,0.04,0.03,-1.08,12.556
29.7180000000001,0.04,0.03,-1.09,12.728
29.8900000000001,0.04,0.04,-1.09,12.9
30.0620000000001,0.04,0.04,-1.08,13.072
30.2340000000001,0.04,0.03,-1.09,13.244
30.4060000000001,0.04,0.04,-1.09,13.416
30.5780000000001,0.04,0.03,-1.09,13.588
30.7500000000001,0.04,0.04,-1.08,13.76
30.9220000000001,0.04,0.03,-1.1,13.932
31.0940000000001,0.03,0.03,-1.1,14.104
31.2660000000001,0.04,0.03,-1.09,14.276
31.4380000000001,0.04,0.04,-1.09,14.4480000000001
31.6100000000001,0.03,0.04,-1.09,14.6200000000001
31.7820000000001,0.04,0.04,-1.09,14.7920000000001
31.9540000000001,0.04,0.03,-1.08,14.9640000000001
32.1260000000001,0.03,0.04,-1.08,15.136
32.2980000000001,0.04,0.03,-1.08,15.308
32.4700000000001,0.03,0.03,-1.09,15.48
32.6420000000001,0.04,0.04,-1.09,15.652
32.8140000000001,0.04,0.04,-1.09,15.824
32.9860000000001,0.04,0.04,-1.08,15.996
33.1580000000001,0.04,0.03,-1.09,16.168
33.3300000000001,0.04,0.03,-1.08,16.34
33.5020000000001,0.04,0.03,-1.09,16.512
33.674,0.04,0.03,-1.09,16.684
33.846,0.03,0.03,-1.09,16.856
34.018,0.04,0.03,-1.09,17.028
