Tiempo (s),X,Y,Z
16.990000000000027,0.04,0.03,-1.09
17.162000000000027,0.04,0.04,-1.08
17.334000000000028,0.04,0.03,-1.08
17.50600000000003,0.04,0.04,-1.09
17.67800000000003,0.04,0.04,-1.09
17.85000000000003,0.04,0.03,-1.08
18.02200000000003,0.04,0.04,-1.08
18.19400000000003,0.03,0.03,-1.08
18.36600000000003,0.04,0.03,-1.1
18.538000000000032,0.04,0.03,-1.09
18.710000000000033,0.04,0.03,-1.09
18.882000000000033,0.03,0.04,-1.09
19.054000000000034,0.04,0.04,-1.08
19.226000000000035,0.02,0.04,-1.09
19.398000000000035,0.04,0.04,-1.08
19.570000000000036,0.04,0.04,-1.09
19.742000000000036,0.04,0.04,-1.09
19.914000000000037,0.04,0.04,-1.09
20.086000000000038,0.03,0.04,-1.08
20.258000000000038,0.04,0.04,-1.09
20.43000000000004,0.04,0.04,-1.09
20.60200000000004,0.04,0.04,-1.08
20.77400000000004,0.04,0.03,-1.09
20.94600000000004,0.04,0.03,-1.09
21.11800000000004,0.04,0.03,-1.08
21.290000000000042,0.04,0.03,-1.08
21.462000000000042,0.03,0.03,-1.08
21.634000000000043,0.04,0.04,-1.08
21.806000000000044,0.03,0.04,-1.08
21.978000000000044,0.04,0.04,-1.08
22.150000000000045,0.04,0.03,-1.09
22.322000000000045,0.03,0.04,-1.08
22.494000000000046,0.03,0.03,-1.09
22.666000000000047,0.04,0.03,-1.09
22.838000000000047,0.04,0.03,-1.1
23.010000000000048,0.03,0.03,-1.09
23.18200000000005,0.05,0.04,-1.1
23.35400000000005,0.04,0.04,-1.09
23.52600000000005,0.04,0.03,-1.09
23.69800000000005,0.04,0.03,-1.09
23.87000000000005,0.04,0.04,-1.08
24.04200000000005,0.04,0.03,-1.08
24.214000000000052,0.03,0.04,-1.09
24.386000000000053,0.04,0.03,-1.09
24.558000000000053,0.04,0.03,-1.08
24.730000000000054,0.04,0.04,-1.09
24.902000000000054,0.04,0.03,-1.08
25.074000000000055,0.04,0.04,-1.08
25.246000000000056,0.04,0.04,-1.09
25.418000000000056,0.03,0.04,-1.09
25.590000000000057,0.04,0.04,-1.09
25.762000000000057,0.03,0.04,-1.09
25.934000000000058,0.03,0.03,-1.09
26.10600000000006,0.04,0.04,-1.08
26.27800000000006,0.04,0.03,-1.09
26.45000000000006,0.04,0.03,-1.09
26.62200000000006,0.04,0.03,-1.09
26.79400000000006,0.04,0.03,-1.08
26.96600000000006,0.04,0.03,-1.09
27.138000000000062,0.04,0.03,-1.09
27.310000000000063,0.04,0.03,-1.08
27.482000000000063,0.04,0.04,-1.09
27.654000000000064,0.04,0.04,-1.09
27.826000000000064,0.03,0.04,-1.08
27.998000000000065,0.04,0.04,-1.08
28.170000000000066,0.03,0.04,-1.09
28.342000000000066,0.03,0.03,-1.09
28.514000000000067,0.03,0.03,-1.08
28.686000000000067,0.03,0.03,-1.09
28.858000000000068,0.04,0.03,-1.09
29.03000000000007,0.04,0.03,-1.09
29.20200000000007,0.04,0.04,-1.09
29.37400000000007,0.03,0.04,-1.09
29.54600000000007,0.04,0.03,-1.08
29.71800000000007,0.04,0.03,-1.09
29.89000000000007,0.04,0.04,-1.09
30.062000000000072,0.04,0.04,-1.08
30.234000000000073,0.04,0.03,-1.09
30.406000000000073,0.04,0.04,-1.09
30.578000000000074,0.04,0.03,-1.09
30.750000000000075,0.04,0.04,-1.08
30.922000000000075,0.04,0.03,-1.1
31.094000000000076,0.03,0.03,-1.1
31.266000000000076,0.04,0.03,-1.09
31.438000000000077,0.04,0.04,-1.09
31.610000000000078,0.03,0.04,-1.09
31.782000000000078,0.04,0.04,-1.09
31.95400000000008,0.04,0.03,-1.08
32.126000000000076,0.03,0.04,-1.08
32.29800000000007,0.04,0.03,-1.08
32.47000000000007,0.03,0.03,-1.09
32.64200000000007,0.04,0.04,-1.09
32.814000000000064,0.04,0.04,-1.09
32.98600000000006,0.04,0.04,-1.08
33.15800000000006,0.04,0.03,-1.09
33.330000000000055,0.04,0.03,-1.08
33.50200000000005,0.04,0.03,-1.09
33.67400000000005,0.04,0.03,-1.09
33.846000000000046,0.03,0.03,-1.09
34.01800000000004,0.04,0.03,-1.09
