Tiempo (s),X,Y,Z
396.262000000017,-0.506601,-1.918345,-0.37743
396.434000000017,-0.517249,-1.947268,-0.34801
396.60600000001705,-0.543666,-1.928482,-0.324938
396.7780000000171,-0.564908,-1.909095,-0.326383
396.9500000000171,-0.569125,-1.915491,-0.340092
397.1220000000171,-0.559881,-1.947533,-0.355154
397.29400000001715,-0.546931,-1.973262,-0.361763
397.4660000000172,-0.537343,-1.957566,-0.369613
397.6380000000172,-0.534244,-1.934225,-0.381351
397.8100000000172,-0.542282,-1.867595,-0.38897
397.98200000001725,-0.561613,-1.780702,-0.384093
398.1540000000173,-0.580306,-1.673596,-0.367107
398.3260000000173,-0.577593,-1.694789,-0.347805
398.4980000000173,-0.546552,-1.907538,-0.33599
398.67000000001735,-0.50162,-2.104883,-0.334081
398.8420000000174,-0.463907,-1.962359,-0.346559
399.0140000000174,-0.453064,-1.4242,-0.367125
399.18600000001743,-0.482834,-0.885199,-0.388352
399.35800000001746,-0.543048,-0.799251,-0.399377
399.5300000000175,-0.602786,-1.162513,-0.399696
399.7020000000175,-0.626967,-1.660686,-0.387071
399.87400000001753,-0.612294,-1.938041,-0.368275
400.04600000001756,-0.582543,-1.995556,-0.343803
400.2180000000176,-0.567002,-1.956849,-0.332044
400.3900000000176,-0.570177,-1.924624,-0.338692
400.56200000001763,-0.585187,-1.924874,-0.362979
400.73400000001766,-0.599262,-1.932819,-0.390051
400.9060000000177,-0.594237,-1.947545,-0.405594
401.0780000000177,-0.562661,-1.954957,-0.397622
401.25000000001774,-0.520817,-1.947963,-0.362464
401.42200000001776,-0.496021,-1.94423,-0.320495
401.5940000000178,-0.504473,-1.96302,-0.31115
401.7660000000178,-0.524525,-2.004688,-0.351724
401.93800000001784,-0.527601,-2.077359,-0.425742
402.11000000001786,-0.506232,-2.099932,-0.477418
402.2820000000179,-0.48226,-2.003268,-0.473238
402.4540000000179,-0.485709,-1.74067,-0.414763
402.62600000001794,-0.523887,-1.438175,-0.343771
402.79800000001796,-0.569128,-1.307433,-0.309081
402.970000000018,-0.57783,-1.448409,-0.319477
403.142000000018,-0.540082,-1.737177,-0.349597
403.31400000001804,-0.495085,-1.967051,-0.368657
403.48600000001807,-0.486612,-2.038882,-0.369185
403.6580000000181,-0.511678,-1.980251,-0.35997
403.8300000000181,-0.540799,-1.906729,-0.341648
404.00200000001814,-0.550143,-1.955749,-0.320712
404.17400000001817,-0.556715,-2.178496,-0.30871
404.3460000000182,-0.571261,-2.497566,-0.325011
404.5180000000182,-0.5837,-2.598185,-0.369345
404.69000000001824,-0.573585,-2.340995,-0.417512
404.86200000001827,-0.541074,-1.841111,-0.448689
405.0340000000183,-0.506835,-1.545483,-0.454294
405.2060000000183,-0.494305,-1.723614,-0.436365
405.37800000001835,-0.509414,-2.25082,-0.399458
405.5500000000184,-0.540098,-2.717395,-0.350502
405.7220000000184,0.042423,0.01728,0.013227
405.8940000000184,0.110797,0.044761,0.033633
406.06600000001845,0.091424,0.034375,0.026823
406.2380000000185,-0.225294,-0.102287,-0.069997
406.4100000000185,-0.928439,-0.385416,-0.281888
406.5820000000185,-1.80574,-0.719543,-0.547454
406.75400000001855,-2.488471,-0.935374,-0.758724
406.9260000000186,-2.781623,-0.967331,-0.854972
407.0980000000186,-2.799415,-0.886523,-0.861445
407.2700000000186,-2.781383,-0.818217,-0.840884
407.44200000001865,-2.802605,-0.823535,-0.827194
407.6140000000187,-2.822831,-0.87828,-0.826696
407.7860000000187,-2.774469,-0.924233,-0.827045
407.9580000000187,-2.701758,-0.928033,-0.828755
408.13000000001875,-2.659427,-0.914359,-0.830946
408.3020000000188,-2.655921,-0.938532,-0.832029
408.4740000000188,-2.679734,-1.006076,-0.831448
408.64600000001883,-2.728159,-1.077861,-0.829918
408.81800000001886,-2.811997,-1.081495,-0.828485
408.9900000000189,-2.904247,-1.029895,-0.828225
409.1620000000189,-2.947212,-0.976746,-0.829268
409.33400000001893,-2.920925,-0.941352,-0.831127
409.50600000001896,-2.849312,-0.901444,-0.83314
409.678000000019,-2.778897,-0.835981,-0.834638
409.850000000019,-2.743329,-0.805864,-0.835204
410.02200000001903,-2.757572,-0.87147,-0.834533
410.19400000001906,-2.810788,-1.025087,-0.832562
410.3660000000191,-2.861481,-1.166566,-0.83012
410.5380000000191,-2.880891,-1.195756,-0.828714
410.71000000001914,-2.855517,-1.115456,-0.829915
